Ticker,Event_ID,Ticker_BB,Company_Name,Fiscal_Year,Fiscal_Quarter,Fiscal_Quarter_BB,Mgmt_Guidance_Date,Earnings_Announcement_Date,Announcement_Time,Mgmt_Guidance_EPS,Mgmt_Guidance_Type,Guidance_Range_Low,Guidance_Range_High,Analyst_Consensus_EPS,Num_Analysts,Disagreement_Gap,Disagreement_Pct,Actual_EPS,Surprise_EPS,Surprise_Pct,EPS_Beat_Miss,CAR_0_1,CAR_2_60,BHAR_2_60,Market_Cap,Sector,Std_Actual_EPS,Std_Guidance_EPS,Std_Consensus_EPS,Std_Disagreement_Gap,Std_Disagreement_Pct,Std_Surprise_EPS,Std_Surprise_Pct
TSCO US,TSCO US|45589,TSCO US Equity,Tractor Supply Co,2024,Q3 24 ,2024Q3,,2024-10-24,12:55,0.45,,,,0.447,,0.0030000000000000027,0.00671140939597316,0.45,0.0030000000000000027,0.00671140939597316,Beat,-0.06833700000000001,-0.03508900000000001,-0.0403278804937951,31507.4194,Consumer Discretionary,0.007703105207299121,0.007703105207299121,0.007651751172583793,5.135403471532782e-05,0.0067114093959732,5.135403471532782e-05,0.0067114093959732
ROP US,ROP US|45588,ROP US Equity,Roper Technologies Inc,2024,Q3 24 ,2024Q3,,2024-10-23,12:55,3.43,,,,4.532,,-1.1019999999999999,-0.2431597528684907,4.62,0.08800000000000008,0.019417475728155355,Beat,-0.011109,-0.069378,-0.07018660254995068,59184.3829,Information Technology,0.00836804926643724,0.0062126426372034055,0.008208657851838434,-0.001996015214635029,-0.24315975286849062,0.000159391414598805,0.019417475728155394
PCAR US,PCAR US|45587,PCAR US Equity,PACCAR Inc,2024,Q3 24 ,2024Q3,,2024-10-22,14:00,1.85,,,,1.819,,0.03100000000000014,0.017042330951072094,1.85,0.03100000000000014,0.017042330951072094,Beat,-0.043776,0.08596000000000004,0.08392888530797338,57459.9543,Industrials,0.01687802207827753,0.01687802207827753,0.01659520116777666,0.00028282091050086874,0.017042330951072143,0.00028282091050086874,0.017042330951072143
KMI US,KMI US|45581,KMI US Equity,Kinder Morgan Inc,2024,Q3 24 ,2024Q3,,2024-10-16,22:05,0.28,,,,0.266,,0.014000000000000012,0.05263157894736847,0.25,-0.016000000000000014,-0.060150375939849676,Miss,-0.002077,0.131161,0.13711565262181735,54953.8943,Energy,0.010096930533117932,0.011308562197092085,0.010743134087237479,0.0005654281098546061,0.0526315789473686,-0.0006462035541195468,-0.06015037593984955
STT US,STT US|45580,STT US Equity,State Street Corp,2024,Q3 24 ,2024Q3,,2024-10-15,13:01,2.29,,,,2.119,,0.17099999999999982,0.08069844266163276,2.26,0.14099999999999957,0.06654082114204793,Beat,0.024165000000000002,0.04720300000000001,0.045982748869715095,27153.5177,Financials,0.024854283514791593,0.025184207632244583,0.023303640162762564,0.0018805674694820189,0.08069844266163284,0.0015506433520290283,0.06654082114204792
BK US,BK US|45576,BK US Equity,Bank of New York Mellon Corp/T,2024,Q3 24 ,2024Q3,,2024-10-11,12:30,1.51,,,,1.417,,0.09299999999999997,0.06563161609033166,1.52,0.10299999999999998,0.07268877911079745,Beat,0.014029000000000003,-0.0038260000000000026,-0.005299884390106646,54940.9358,Financials,0.020416386836803222,0.02028206850235057,0.0190329079919409,0.001249160510409672,0.06563161609033175,0.001383478844862323,0.07268877911079742
LEN US,LEN US|45554,LEN US Equity,Lennar Corp,2024,Q3 24 ,2024Q3,,2024-09-19,22:30,4.26,,,,3.653,,0.6069999999999998,0.16616479605803441,3.9,0.2469999999999999,0.06761565836298929,Beat,-0.047080000000000004,-0.20856400000000005,-0.20840004881162977,51222.4955,Consumer Discretionary,0.02153886937504142,0.02352707270196832,0.020174740981288797,0.003352331720679523,0.16616479605803447,0.0013641283937526234,0.06761565836298933
KR US,KR US|45547,KR US Equity,Kroger Co/The,2025,Q2 25 ,2025Q2,,2024-09-12,14:00,0.64,,,,0.913,,-0.273,-0.29901423877327493,0.93,0.017000000000000015,0.0186199342825849,Beat,0.07162099999999999,0.010964,0.00898486208671323,37172.2277,Consumer Staples,0.01805825242718447,0.012427184466019418,0.017728155339805825,-0.005300970873786406,-0.2990142387732749,0.00033009708737864393,0.018619934282585064
ROST US,ROST US|45526,ROST US Equity,Ross Stores Inc,2025,Q2 25 ,2025Q2,,2024-08-22,22:01,1.6,,,,1.492,,0.1080000000000001,0.0723860589812333,1.59,0.09800000000000009,0.0656836461126006,Beat,0.005765000000000001,-0.13792199999999996,-0.13948260268506574,51353.8568,Consumer Discretionary,0.010328028580708023,0.010392984735303671,0.009691458265670673,0.0007015264696329983,0.0723860589812333,0.0006365703150373499,0.06568364611260054
A US,A US|45525,A US Equity,Agilent Technologies Inc,2024,Q3 24 ,2024Q3,,2024-08-21,22:05,0.97,,,,1.259,,-0.2889999999999999,-0.22954725972994436,1.32,0.061000000000000165,0.048451151707704664,Beat,0.007991,-0.11124300000000002,-0.11811566506684079,40773.5819,Health Care,0.009445438282647585,0.006940966010733452,0.009008944543828263,-0.002067978533094811,-0.22954725972994433,0.0004364937388193213,0.04845115170770466
