Event_ID,CAR_2_10,CAR_2_30
45644,-0.031644000000000005,-0.057863
45631,0.067554,-0.006097000000000005
45621,0.053012000000000004,0.056826
45617,0.049516000000000004,0.04949299999999999
45607,0.080236,0.01846
45603,0.007498999999999993,-0.032782000000000006
45603,-0.012267999999999998,-0.059086000000000014
45603,0.121063,0.18294999999999997
45597,-0.046173000000000006,-0.16532100000000002
45596,0.028071,-0.018841999999999998
45596,-0.023696,-0.04555199999999998
45596,-0.014471999999999995,-0.022344999999999993
45596,-0.022612,-0.01921900000000001
45595,-0.011240000000000002,0.04069999999999999
45595,-0.050755999999999996,0.017327999999999996
45595,0.051739,0.021072000000000007
45594,0.09762000000000001,0.05008800000000001
45594,0.07176999999999999,0.10502199999999999
45589,-0.04108800000000001,0.015764
45589,0.031434,-0.007804000000000012
45588,0.020705,-0.015892
45587,0.04330200000000001,0.08886000000000002
45581,0.005540999999999998,0.109609
45580,0.0016640000000000032,0.032180999999999994
45576,-0.0021640000000000027,0.033531
45554,0.026218,-0.062501
45547,-0.028792999999999996,-0.01822
45526,0.00991,-0.08247099999999999
45525,-0.0015850000000000005,0.009470999999999997
45511,-0.04232299999999999,-0.021189000000000003
45511,-0.012257000000000004,0.06901900000000002
45511,-0.040358000000000005,0.005402000000000011
45511,0.03763700000000001,0.12659599999999996
45510,-0.01754,0.012786999999999991
45509,0.002401000000000002,0.06565900000000001
45506,-0.021502,-0.054336999999999996
45505,-0.00918,0.022626
45505,-0.028930000000000004,-0.008578
45505,-0.05830900000000001,0.007325999999999978
45504,-0.027326000000000007,-0.024940000000000007
45504,0.017130999999999993,0.04804099999999999
45503,-0.029747000000000006,0.00524599999999999
45503,0.007386,0.049808000000000005
45498,0.054014000000000006,0.025873000000000014
45498,0.020295999999999995,0.042567999999999995
45497,-0.011323,0.004706999999999994
45496,-0.03413700000000001,-0.05556200000000001
45490,0.021649999999999996,0.01723899999999999
45489,0.031535,-0.005254
45485,0.03273899999999999,0.01582599999999998
45463,0.013307,0.100544
45460,-0.038623,0.17603300000000002
45441,-0.022064,-0.061850999999999975
45435,0.0072239999999999995,-0.015029
45421,-0.062924,-0.143949
45420,-0.0005119999999999986,-0.051646
45414,0.002271,0.0032680000000000087
45414,-0.015284999999999998,-0.11936800000000002
45414,-0.046333,-0.029892999999999986
45414,-0.049887,-0.193342
45413,-0.028142000000000007,-0.07368999999999999
45413,-0.009279999999999997,-0.09141899999999999
45413,-0.014872000000000002,-0.117741
45413,0.096913,-0.006734000000000002
45412,0.014991999999999998,-0.03675499999999998
45412,-0.02525299999999999,-0.070355
45412,-0.06790500000000001,-0.116723
45408,-0.0021410000000000005,0.03213500000000001
45408,-0.024316000000000004,-0.09591800000000002
45407,0.005952,-0.085942
45407,-0.037685,-0.05329199999999998
45406,0.013253000000000006,-0.026893999999999987
45399,0.015264000000000007,0.013228999999999987
45398,0.041211000000000005,0.017574
45394,-0.02811199999999999,-0.041389999999999996
45364,0.07907499999999999,0.026673999999999996
45358,-0.004432999999999998,0.041477
45356,-0.023806,-0.09104299999999999
45350,0.015498000000000001,-0.097554
45349,0.055445,0.03493800000000001
45348,0.030129000000000003,0.04411599999999999
45345,0.013058000000000004,-0.02262200000000001
45344,0.040146,0.060772999999999994
45344,-0.010343000000000001,-0.00683999999999999
45337,0.075071,0.004246999999999996
45336,0.03623599999999999,0.037178
45336,0.007203999999999992,-0.09666300000000001
45330,-0.014503000000000004,0.013192999999999995
45329,0.02216099999999999,0.11867899999999998
45328,-0.000872000000000003,-0.07983800000000002
45327,-0.033017,-0.104233
45324,-0.021985,0.00938799999999999
45324,0.034686999999999996,0.039952999999999995
45323,0.005191999999999996,0.070934
45323,-0.02734600000000001,-0.01015400000000001
45322,-0.027116999999999995,-0.04814600000000001
45314,0.015530999999999993,0.08941199999999999
45310,-0.034376000000000004,-0.06150000000000003
45308,-0.019858000000000004,-0.04407899999999999
45303,-0.016826000000000004,-0.054370000000000016
45646,-0.065373,0.050494000000000025
45645,-0.027335000000000005,0.05169299999999999
45622,0.060836,0.0014780000000000001
45603,0.023032000000000004,0.03313100000000001
45602,0.066538,-0.02564899999999999
45602,0.111085,-0.076781
45600,-0.007543999999999999,-0.09760899999999999
45600,-0.019588000000000005,-0.13271999999999998
45597,0.032000999999999995,-0.032674999999999996
45596,0.055465,0.018743000000000003
45596,0.08491,0.064693
45596,-0.01724599999999999,-0.051347000000000004
45596,-0.061778,0.140685
45596,-0.005504,-0.03483600000000002
45595,-0.08396300000000001,-0.109899
45595,-0.06412500000000002,-0.14655700000000002
45595,-0.266309,-0.264472
45595,0.06716899999999999,0.01984899999999999
45594,-0.023238,-0.048724
45589,-0.0015939999999999982,0.019464000000000006
45589,-0.055664000000000005,-0.103091
45587,0.005896000000000002,0.01577900000000001
45581,-0.030475000000000006,-0.07227399999999999
45580,-0.03455,-0.03544499999999999
45576,0.002929000000000001,0.06757099999999999
45565,0.09267099999999998,0.271521
45554,-0.049581999999999994,-0.052437000000000004
45526,0.019581999999999995,-0.091747
45523,0.03648900000000001,0.06160200000000001
45512,-0.017271999999999996,0.038919999999999996
45509,-0.018942000000000004,-0.0028620000000000086
45506,-0.065977,-0.03012099999999998
45505,-0.024565000000000007,-0.100187
45505,-0.008356000000000006,0.089642
45505,-0.01736900000000001,0.060742
45505,0.11958900000000001,0.108341
45505,-0.05127200000000001,0.02185399999999999
45504,-0.0032140000000000033,-0.04206599999999999
45504,-0.016602,-0.006070000000000001
45504,-0.028474,-0.050703000000000005
45504,-0.239908,-0.05101099999999993
45504,0.035445,0.05179499999999999
45503,0.009951999999999997,0.04554399999999999
45502,0.007204000000000002,-0.020214000000000003
45498,0.005037000000000003,0.054481999999999996
45497,0.03890899999999999,0.079556
45497,-0.005275000000000009,0.01741899999999999
45490,0.05044599999999999,0.06770299999999997
45489,0.095694,0.07294600000000001
45485,0.073724,0.008549999999999988
45468,-0.06143200000000001,-0.20858100000000007
45463,-0.072737,-0.029623999999999987
45435,-0.032243,-0.038821
45418,0.034089,0.021375999999999992
45414,0.019783,-0.002377999999999998
45414,-0.032159,-0.10319500000000001
45414,-0.049449999999999994,0.020191
45414,-0.05447,-0.12346999999999998
45414,-0.025463,-0.041544000000000005
45413,0.018243000000000006,-0.038750999999999994
45413,-0.037564,-0.12356199999999999
45413,-0.026608000000000007,-0.21188
45413,0.0046300000000000004,0.008213999999999987
45413,-0.0063539999999999985,0.06975500000000001
45413,-0.039465000000000014,-0.23106
45412,-0.001988,0.05729500000000001
45412,0.001998999999999998,-0.021401
45407,0.038877,0.012920000000000006
45407,-0.025735,-0.078426
45407,0.143506,0.257712
45407,0.0008269999999999996,-0.03379799999999999
45405,-0.017336000000000004,-0.07473700000000001
45399,0.007646,0.010337999999999995
45398,0.0018959999999999984,-0.062299999999999994
45393,-0.012945,-0.091637
45378,-0.074902,-0.10350399999999998
45372,-0.048339,-0.07214399999999999
45348,-0.107065,-0.10931799999999997
45344,-0.006759000000000005,0.070855
45337,-0.0017689999999999971,-0.0010360000000000005
45336,-0.06077600000000001,-0.060814000000000014
45336,-0.057597999999999996,-0.04756600000000002
45336,0.152329,0.11266000000000005
45336,0.03627299999999999,0.09897
45335,0.03249,0.08010399999999998
45330,0.02694399999999999,0.0021759999999999974
45329,-0.010141000000000008,-0.128288
45328,0.028584999999999996,0.050041
45328,0.035713999999999996,0.03880099999999999
45327,-0.011678,-0.038043
45324,-0.034959000000000004,-0.0005050000000000106
45323,0.015130999999999999,0.06385500000000001
45323,0.003928000000000001,0.014191
45323,0.033052000000000005,0.06461799999999998
45323,-0.028427999999999995,0.021875000000000002
45321,-0.06008500000000001,-0.04893300000000001
45316,-0.045322999999999995,-0.192034
45315,-0.055798,-0.044934000000000016
45315,-0.016488000000000003,-0.01517300000000002
45309,-0.0007560000000000049,-0.005893000000000008
45314,-0.08075700000000001,-0.029397000000000013
45316,-0.05901400000000001,-0.04806600000000001
45321,-0.00013899999999999763,0.03374400000000001
45321,-0.025676000000000004,-0.021345000000000017
45342,0.018855999999999998,-0.05040300000000002
45405,-0.019897000000000005,-0.10703299999999999
45405,0.055597999999999995,0.09934200000000001
45405,0.028443999999999997,0.067606
45413,0.006991999999999998,-0.056574999999999986
45426,-0.059588,-0.045623
45496,0.002566999999999993,-0.0034870000000000057
45496,-0.015230000000000004,0.023207
45497,0.092366,0.075365
45503,-0.04186600000000001,-0.037059999999999996
45517,0.016934999999999995,0.066796
45587,0.013281999999999995,-0.064129
45588,-0.12363500000000001,-0.11897699999999997
45589,-0.052797000000000004,-0.12526299999999999
45594,-0.098943,-0.15134899999999998
45608,0.040218000000000004,-0.040768000000000006
45303,-0.005686,0.023124999999999993
45314,-0.023563,-0.039565
45314,0.039788,0.15701
45314,0.026320000000000003,-0.001731
45314,0.0029209999999999983,0.046425000000000015
45315,0.007903999999999994,-0.066504
45316,0.008984000000000002,-0.002110000000000006
