Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model 1: Guidance Surprise Only,CAR_2_60,const,-0.011967059643058836,0.013829349473690168,-0.8653378574187983,0.38685337797336994,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Z_Guidance_Surprise,-0.0004226601642408896,0.0030970408523606826,-0.13647225993765044,0.8914479527196895,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Std_Log_Market_Cap,0.0018777522022427858,0.0034064500514972835,0.5512343271898063,0.5814730512501143,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Consumer Discretionary,0.013232067979451348,0.017197757785905335,0.7694065787050377,0.4416519843870904,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Consumer Staples,-0.037379137470060414,0.018244483344284745,-2.048791229912782,0.04048253371557927,**,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Energy,-0.022548323572268266,0.01925045410279393,-1.1713138532662302,0.24147264502934662,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Financials,0.018044568816892904,0.0146458989230342,1.2320560801162896,0.21792813611535244,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Health Care,-0.03956434272805706,0.01539640028485146,-2.569713828951594,0.010178255567789774,**,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Industrials,-0.0014305772314233871,0.016406120751657562,-0.08719777533508959,0.9305143076482989,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Information Technology,-0.003333715425688854,0.015022829355555328,-0.22190995762433202,0.82438397872222,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Materials,-0.016166357706650474,0.020505584152665898,-0.7883880598714235,0.43046975278892075,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Real Estate,-0.016138360013715547,0.01881825859817813,-0.8575905113387041,0.3911186163698124,,0.04083162882795299,0.029170007293946476,1000
Model 1: Guidance Surprise Only,CAR_2_60,Sector_Utilities,-0.003161269739348465,0.015676229177617965,-0.20166008697181,0.8401824674647878,,0.04083162882795299,0.029170007293946476,1000
Model 2: Add Gap,CAR_2_60,const,-0.01005674032253889,0.014349232727254265,-0.7008556146307101,0.48339312642721477,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Z_Guidance_Surprise,0.0032468828154507976,0.004770513421653097,0.6806149628912846,0.4961151565562103,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Std_Disagreement_Gap_Win,0.5597905624203321,0.5722263275039928,0.9782677509126423,0.3279419154536972,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Std_Log_Market_Cap,0.0018122334485971368,0.003427789069742822,0.5286887295935931,0.5970213967675471,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Consumer Discretionary,0.012134065080280636,0.017525488807700607,0.6923667130442029,0.4887070643193371,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Consumer Staples,-0.03816100079991386,0.01843365778781936,-2.0701806032837378,0.03843543497274944,**,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Energy,-0.023865517393998663,0.01970336569005707,-1.2112406463654046,0.22580318895126472,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Financials,0.01660335235746297,0.015021984114914833,1.1052702645969417,0.2690424984946729,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Health Care,-0.040590536431344054,0.015738326662846525,-2.579088444463804,0.00990614200599073,***,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Industrials,-0.0020146333084413576,0.016663115478944526,-0.12090375962328555,0.9037672642701934,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Information Technology,-0.003903869533692247,0.015232889642958682,-0.25627898745375527,0.7977354211653651,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Materials,-0.017022713841865034,0.020759641157387182,-0.8199907557557956,0.41222137708300977,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Real Estate,-0.016348174133631647,0.018970815003696885,-0.8617539167635044,0.3888229488668372,,0.041359929357430936,0.028720658649161734,1000
Model 2: Add Gap,CAR_2_60,Sector_Utilities,-0.0036494334712870087,0.01586101783722783,-0.23008822691828285,0.8180232130521676,,0.041359929357430936,0.028720658649161734,1000
Model 3: Interaction,CAR_2_60,const,-0.011889339321325406,0.014181823050562514,-0.8383505617674324,0.40183384667861255,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Z_Guidance_Surprise,-0.001372445206469885,0.005606276164448394,-0.24480513735179527,0.8066073159058051,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Std_Disagreement_Gap_Win,0.6339899591566716,0.5729016503052092,1.1066296611624664,0.2684540777861255,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Z_Interaction,-0.2631914946069723,0.18005880416830383,-1.4616974483567213,0.14382413679665712,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Std_Log_Market_Cap,0.0018391851212271725,0.0034091605518600508,0.5394832813678154,0.5895534299077865,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Consumer Discretionary,0.01217895760991038,0.01734381711415663,0.7022074512057377,0.4825497994672391,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Consumer Staples,-0.03827456923944601,0.01828639352585461,-2.0930627564878055,0.03634355279779725,**,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Energy,-0.024481689684574925,0.019516996910795923,-1.254377904370767,0.2097046798177793,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Financials,0.015680347885637585,0.014933003130031194,1.0500465143614304,0.2936967276320731,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Health Care,-0.038784594727421615,0.015562446275166328,-2.492191397268428,0.012695760309424943,**,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Industrials,-0.0019931534802343793,0.016505824262449755,-0.12075455600049871,0.9038854456749746,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Information Technology,-0.0028782206335160113,0.015174682247311345,-0.18967254711550716,0.8495657344990333,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Materials,-0.019286711385075976,0.02033579390848019,-0.9484120202965501,0.342919742456681,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Real Estate,-0.012613093311141983,0.018837966991925397,-0.6695570342886995,0.503140211335303,,0.04350853270497412,0.02991373012413101,1000
Model 3: Interaction,CAR_2_60,Sector_Utilities,-0.00435775843500052,0.015652151192839796,-0.2784127485935615,0.7806955342750884,,0.04350853270497412,0.02991373012413101,1000
