Model,Variable,Coefficient,Std_Error,p_value,Significance,N_Obs
Sector Heterogeneity,const,0.021472217843059957,0.005155831888820599,3.1183517997513606e-05,***,1000
Sector Heterogeneity,Z_Guidance_Surprise,0.013713611900380392,0.004008784628301494,0.000624165347746574,***,1000
Sector Heterogeneity,Std_Disagreement_Gap_Win,2.407790279861247,0.5689330053579814,2.31503301830292e-05,***,1000
Sector Heterogeneity,Int_Gap_Sector_Consumer Discretionary,1.182749825527234,0.9813914542702429,0.22813520873355786,,1000
Sector Heterogeneity,Int_Gap_Sector_Consumer Staples,-0.017799937948145883,0.8415318797491367,0.9831245410097937,,1000
Sector Heterogeneity,Int_Gap_Sector_Energy,0.5983705700251712,1.2716152728320183,0.6379553782237779,,1000
Sector Heterogeneity,Int_Gap_Sector_Financials,0.02276707612538209,0.631639349247557,0.9712469372185262,,1000
Sector Heterogeneity,Int_Gap_Sector_Health Care,-0.6267417593823815,0.8069561775216113,0.4373512200764501,,1000
Sector Heterogeneity,Int_Gap_Sector_Industrials,-0.39150619599921577,1.8290598692252615,0.8305098010886287,,1000
Sector Heterogeneity,Int_Gap_Sector_Information Technology,-1.068710396972355,1.194754596162266,0.3710533506762683,,1000
Sector Heterogeneity,Int_Gap_Sector_Materials,0.27112898284048137,0.9141303994469896,0.7667736596300369,,1000
Sector Heterogeneity,Int_Gap_Sector_Real Estate,-0.130140042933287,1.4992969467106734,0.9308299214239704,,1000
Sector Heterogeneity,Int_Gap_Sector_Utilities,-1.2463423901159305,0.6083260133123435,0.04048102385799635,**,1000
Sector Heterogeneity,Std_Log_Market_Cap,0.00044700293615262737,0.0018934025101489567,0.8133671212085667,,1000
Sector Heterogeneity,Sector_Consumer Discretionary,-0.025204953204202643,0.0073516182602146795,0.0006069478259858323,***,1000
Sector Heterogeneity,Sector_Consumer Staples,-0.01595595216958743,0.007396164807218892,0.03098013010941893,**,1000
Sector Heterogeneity,Sector_Energy,-0.019089070243695168,0.006335273024933038,0.002585588434306058,***,1000
Sector Heterogeneity,Sector_Financials,-0.016967546655479518,0.005894329599690291,0.003994168019402959,***,1000
Sector Heterogeneity,Sector_Health Care,-0.023854379481880975,0.010111727728764858,0.018320282237574058,**,1000
Sector Heterogeneity,Sector_Industrials,-0.014120578065353148,0.007150432341189209,0.04829236885755135,**,1000
Sector Heterogeneity,Sector_Information Technology,-0.01694486424981708,0.008680376256417389,0.05092767667495408,*,1000
Sector Heterogeneity,Sector_Materials,-0.020808391610398685,0.007614746728023346,0.006282820914142153,***,1000
Sector Heterogeneity,Sector_Real Estate,0.005500607678326441,0.0155982405979318,0.7243562254921021,,1000
Sector Heterogeneity,Sector_Utilities,-0.004704951044051102,0.006834601590249215,0.4911998821003659,,1000
